feature,lo,hi
time_in_hospital,1.0,14.0
num_lab_procedures,0.0,100.0
num_procedures,0.0,6.0
num_medications,0.0,45.0
number_outpatient,0.0,8.0
number_emergency,0.0,5.0
number_inpatient,0.0,8.0
number_diagnoses,1.0,9.0
age_years,5.0,95.0
gender_female,0.0,1.0
adm_emergency,0.0,1.0
adm_urgent,0.0,1.0
src_emergency_room,0.0,1.0
not_discharged_home,0.0,1.0
a1c_high,0.0,1.0
a1c_normal,0.0,1.0
glucose_abnormal,0.0,1.0
med_change,0.0,1.0
on_diabetes_meds,0.0,1.0
on_insulin,0.0,1.0
diag_circulatory,0.0,1.0
diag_respiratory,0.0,1.0
diag_digestive,0.0,1.0
diag_diabetes,0.0,1.0
diag_injury,0.0,1.0
diag_musculoskeletal,0.0,1.0
diag_genitourinary,0.0,1.0
diag_neoplasm,0.0,1.0
